content
老爸很喜欢，屏幕正好，不大不小，系统流畅，不错，物超所值，要的京东自营的，发货速度很快，双十一买的，很划算哦
手机看着比较不错，包装非常不错！
送货速度一如既往的快。中午收到货，玩了几小时，熟悉了小七的系统，测试了机子的各方面性能。日常使用浏畅度不慢，电话及多媒体功能正常，没出现什么问题，掉电中规中矩，没看电视没玩游戏，不知这个耗电如何。刚到手还没测游戏。外型不错。暂时就这么多吧
在京东买了4个手机了，很不错，值得信赖
包装很精致、帮同事买的、很满意
包装有个性，手机也挺好用！不错
我很喜欢这一款手机，内存很大，64G的。质量很好。
边边感觉有点搁手，其他的还可以摄像头突出，偶尔会感觉不是太顺，系统更新以后感觉没有之前流畅，不过内容各方面都有提升，就是提升得不太单位，比如运动健康数据好像不是太准确，还有流量监控简直相当于没有！！！
很好，性价比很高，很漂亮！
买了荣耀好几款手机了，这次朋友推荐买荣耀7，拿到手感觉手机挺有手感的，外包装看起来业很很高大上，支持国产，支持华为
手机光泽感还行，质量要用后才知道，不过拿在手上大气，总的来说产品非常不错
正品，比专卖店便宜
东西很不错，用起来很好
买到手过二天就降价了，我都不想评价了。
挺好的，只是这双11送货有点慢，总体感觉还是不错的，以后来追加评论。
送给我家公用的，质感很好，功能强大，我老公自己也用荣耀八觉得国产机中华为做的就很出色，必须支持哈！就是后悔没有11买啊，估计活动更给力！？
好
外观靓丽，功能强大，很喜欢
挺好的
很强很实用
挺好的
包装新颖，手感很好，运行流畅。
一贯地好，支持国货！
好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
东西原装的，不错，点赞。
好东西值得购买值得推荐！很不错的一次购物！！
晚上9.30买的，第二天中午就收到了 太速度了
帮朋友买的，朋友说很好
商品ok，帮人买的，物流没得说超赞，京东就近发货还是很好的
手机很好用，支持华为！
快递非常快！半夜里下单，早上还没起床都打电话送到了?！神速！不错不错！手机用了半个月了，电量耐用，反应速度也非常快，这是我第4次在京东上买手机了，每一次都很满意，以后还会继续选择京东！
用着还行，大小适中，反应也快
超级赞
这手机确实不赖，第二次购买了
很快当天就收到了赞啊！！
还不错！比实体店便宜！
第二次买了，很满意
很满意，国货当自强！给力机型。
.............
非常好用，很喜欢
物有所值！
买给老婆的，反应速度很快，甩P7几条街
一直用华为，国产好
还不错！
还好，
用着不错 挺顺手 挺快的
过几天评论
很好
速度啊！双十一买的，还是一如既往的快。
现在没有什么问题，用过以后才知道
帮朋友买的，送货速度非常快，手机应该不错。
手机非常好，发货速度很快，包装很好。
很好
好
已经卖了一个了，这次又买了一个，没啥可说的了
刚开始使用了几天总体觉得荣耀7这款机型性能方面还不错，如果就是浏览网页上上网应该足够用了，电池续航能力只能是一般吧，平时就是上网看新闻购物之类大概使用2天，不用时关闭其他后台应用，总体这款手机还行
手机收到充电快，速度快
速度很快，比苹果好
照相效果不错
用了一段时间了，很好用，指纹也方便多了，性能比原来的机器也快了许多
好，比小米5好多了，小米五屏幕卡顿卡卡卡卡卡卡
喜欢，正在熟悉各功能，拍照功能不错，充电速度快
还行
支持国产，支持京东
快递给力啊
昨天下午就收到，打开包装就给人舒服的感觉，开机试玩很是畅快，现我家全是华为的手机支持国产，物流也超快，两天就到了，???京东，下次再来！！&hellip;
运行快
运行速度快，发货速度快，用起来顺手，非常满意。物有所值。
东西不错，价格合适。
手机外观漂亮，手感好。
性价比高，像素好！支持国货
刚上手几天  总体感觉还不错  希望不要越用越卡吧
支持国产，支持华为。
不错
不錯的手機，已用上了
华为的手机真心不错，京东有货配送速度快，价格优惠！以后还会选择京东购买！
帮老爸买的，目前没啥问题，老爸说比店里便宜
还行吧，关键是比我之前16G大很多，再也不担心安装哪个删哪个了。充电飞快，基本一天一冲。就是不太好陪套套，拉风的金属边太难保留了。
用了一段时间才来评价，感觉还可以，就是上网的时候有时间会闪屏！看着泛泛的，好刺眼！这是什么问题呢？
没用的软件较多
一一直用华为，质量还是可靠的，希望华为一直能保持质量
满意
刚刚古古怪怪
好
哈哈哈哈哈哈哈哈好好
手机很不错，外观非常漂亮，表示很喜欢。以后还会力挺华为
还不错，凑合着用用！！！！！！！！！！！！！！！！！
还行，
性价比非常高，整个操作比较流畅。
帮同事购买的，已经购买多个了，同事使用一段时间再评价。
大小适中，手感很好
唯一的缺点就是没有送一个耳机，赠品有没有一个，
用了一个多月才来评价，手机是正品，很好用，反应也很快。继续支持京东
快递哥哥给力才买的。。。快递哥推荐说不错。果断买买买。。。赠品高清膜套子硅胶套都是便宜货。不过还是很满意。。。
还可以功能蛮多，就是有点厚，没有想象的薄，总体还不错
愉快的一次购物，物流还超快，选择京东，真没错
哥的，应该是还不错，京东真的是蛮给力的。
手机试用了两天还可以，主要看持久性咋样了。再薄点就好了。
支持华为。性价比高。
老公很喜欢，手机真的不错，
今年买的第二部华为了，好用都介绍家人用。
很好用噢。还是华为的机子好用。
不错的东西，以后还会支持。
货很亮快递服务很周到
送货速度超快。手机相当惊艳，性能倍好，一次满意的购物体验
给爸爸妈妈买的~听他们说不错的~
挺好哒
物流很快
很好，很喜欢
不错
手机还可以，京东现在越来越差了
手机很精致，我选的荣耀金色外观雅致商务。正常使用，不怎么看视频听歌的情况下电量能用2天1夜。手机重量略沉，触屏灵敏，容易操作。头一次用华为手机，感觉不错。
挺好
非常不催
挺好
反应快，款式好看，老爸很喜欢，一收到货的时候开心得不不得了
是正品
很高大上哦
用的很好运行很快，小七还是不错的性价比很高，支持华为
手机已经收到了，试用之后感觉很不错，非常满意，物流也很快。
好
可以
帮别人买的
确认跟荣耀8差距很大，买了7和8各一起
很好的手机已经买了3个了！！
看上去还是不错的
不错！
用着质量还行 用了快2个月了
还可以的，用起来感觉还是不错滴。
很好
态度好速度快，手机不错很稳定
还好，运行还可以
老顾客了，很好用的，全家四人就有三人用华为
后盖很漂亮正常用5天比较一般音质好指纹识别
第二次买了，一如既往的好评！
支持喜欢华为
老爸用的，很舒服！
用着可以呢，暂时没发现什么问题
挺好的，发货速度也快，到货也快，可惜的是没有耳机，耗电的速度有点快
手机很漂亮，老太太很喜欢
手机不错，性价比高
帮别人买的，还没有试机，有什么问题在联系售后吧。
送给妈妈的，看起来不错，她挺喜欢
还可以，屏幕大，清晰，照相机功能颜色都一般，指纹鸡肋，老年人用用么可以了，
荣耀7，整体来讲还是不错的
好用不错值得购买！！！
刚收到了
手机外包装很个性，外观也很漂亮，5.2寸屏手感不错，既满足了大屏的需要，又增加了单手的可操作性。3G运存没有想象中的那么快，不过也能满足需要，性价比还是蛮高的。
使用挺好的，信赖华为
收到了
很不错，京东第二部华为
买的时候没注意多大屏，货到后发现屏有点小，其他各方面很好
！！！！！！！！！！！！
手机不错，用着蛮好用。
买给老爸的 机子总是发热不知道怎么回事 懒得换 凑活用吧先
第一次使用，感觉高大上，效果不错
屏幕大小合适，目前使用还没发现什么问题
一般般。运行慢。。。。用久了肯定得卡啊。。。
